Class	Name	Data	Option
Table	10.0x7.5x6.0	10.0x7.5x6.0	
Table	8.5x7.5x6.0	8.5x7.5x6.0	
Construct	5.0x18.0x7.0	5.0x18.0x7.0	
Construct	5.0x15.0x16.0	5.0x15.0x16.0	
Light	spot	spot	
Light	wide	wide	
Frame	Wooden_thin	Wooden_thin	
Frame	Metal_Vertical	Metal_Vertical	
Frame	Metal_Vertical2	Metal_Vertical2	
Frame	Metal_Vertical3	Metal_Vertical3	
Frame	MetalGold	MetalGold	
Frame	Metal	Metal	
Frame	WoodenWhite	WoodenWhite	
Frame	WoodenBlack	WoodenBlack	
Frame	Wooden	Wooden	
Frame	Wooden_thin2	Wooden_thin2	
Frame	Wooden_Rich	Wooden_Rich	
Frame	none(caption)	none(caption)	
3DObject		https://virtualion.github.io/webgl-editor-test-0819/web-contents/sample-3d/f1961_bottom.zip	
Audio	テスト音声(Webから)	https://virtualion.github.io/webgl-editor-test-0819/web-contents/sample-audio/01.femal.wav	
2DObject	龍源寺間歩の江戸時代の坑道	https://eet-anam.github.io/202609_train/onegaihakase2/A1.jpg	
2DObject	新切間歩の坑口と史跡標柱	https://eet-anam.github.io/202609_train/onegaihakase2/A2.jpg	
2DObject	青空の下に続く大森の町並み	https://eet-anam.github.io/202609_train/onegaihakase2/A3.jpg	
2DObject	商家の帳場と帳箪笥・大黒恵比寿像	https://eet-anam.github.io/202609_train/onegaihakase2/A4.jpg	
2DObject	町家二階の座敷と床の間の生け花	https://eet-anam.github.io/202609_train/onegaihakase2/A5.jpg	
2DObject	板塀「駒の足」と町家の外観	https://eet-anam.github.io/202609_train/onegaihakase2/A6.jpg	
2DObject	サザエの殻の灯り	https://eet-anam.github.io/202609_train/onegaihakase2/A7.jpg	
2DObject	二階の出窓から望む赤瓦の町並み	https://eet-anam.github.io/202609_train/onegaihakase2/A8.jpg	
2DObject	レトロなたばこ店のショーケース	https://eet-anam.github.io/202609_train/onegaihakase2/A9.jpg	
2DObject	町家の台所と食卓の再現展示	https://eet-anam.github.io/202609_train/onegaihakase2/A10.jpg	
2DObject	鳥居と石灯籠が並ぶ神社の参道	https://eet-anam.github.io/202609_train/onegaihakase2/A11.jpg	
2DObject	下河原吹屋跡	https://eet-anam.github.io/202609_train/onegaihakase2/A12.jpg	
2DObject	町家の土間とかまど	https://eet-anam.github.io/202609_train/onegaihakase2/A13.jpg	
2DObject	龍源寺間歩の坑口	https://eet-anam.github.io/202609_train/onegaihakase2/A14.jpg	
2DObject	清水谷製錬所跡の石積みとアーチ	https://eet-anam.github.io/202609_train/onegaihakase2/A15.jpg	
2DObject	清水谷製錬所跡の段状石垣	https://eet-anam.github.io/202609_train/onegaihakase2/A16.jpg	
